,State,Diabetes_Rate_2018,Population_2019,State_2,1st,1st_Pounds,2nd,2nd_Pounds,3rd,3rd_Pounds
0,West Virginia,16.2,1805832.0,WV,Blow Pops,44123.0,Milky Way,22139.0,Hershey's Mini Bars,18211.0
1,Alabama,14.5,4887871.0,AL,Candy Corn,62067.0,Tootsie Pops,48386.0,Hershey's Mini Bars,39391.0
2,Mississippi,14.3,2986530.0,MS,3 Musketeers,115314.0,Snickers,99497.0,Butterfinger,52733.0
3,Arkansas,14.1,3013825.0,AR,Jolly Ranchers,241483.0,Hot Tamales,210104.0,Butterfinger,71776.0
4,Louisiana,14.1,4659978.0,LA,Lemonheads,108025.0,Reese's Cups,85166.0,Blow Pops,36927.0
5,Tennessee,13.9,6770010.0,TN,Tootsie Pops,60687.0,Skittles,34832.0,Salt Water Taffy,17251.0
6,Kentucky,13.8,4468402.0,KY,Swedish Fish,73822.0,Tootsie Pops,53300.0,Reese's Cups,26260.0
7,South Carolina,13.3,5084127.0,SC,Skittles,118870.0,Candy Corn,97610.0,Hot Tamales,39738.0
8,Indiana,12.7,6691878.0,IN,Hot Tamales,100469.0,Starburst,73692.0,Jolly Ranchers,30653.0
9,Georgia,12.6,10519475.0,GA,Jolly Ranchers,142983.0,Swedish Fish,101236.0,Hershey Kisses,47908.0
10,New Mexico,12.5,2095428.0,NM,Candy Corn,84251.0,Jolly Ranchers,61855.0,Milky Way,44121.0
11,Texas,12.5,29206997.0,TX,Reese's Cups,1101040.0,Starburst,1082409.0,Almond Joy,470571.0
12,Florida,12.4,21299325.0,FL,Snickers,660689.0,Skittles,578790.0,Reese's Cups,214314.0
13,Ohio,12.2,11689442.0,OH,M&M's,164757.0,Blow Pops,146478.0,Starburst,103523.0
14,Oklahoma,12.2,3943079.0,OK,Dubble Bubble Gum,20583.0,Snickers,9817.0,Skittles,8346.0
15,North Carolina,12.1,10383620.0,NC,M&M's,101860.0,Reese's Cups,92437.0,Snickers,52372.0
16,Delaware,12.0,967171.0,DE,Life Savers,20806.0,Candy Corn,17981.0,Skittles,9595.0
17,Maryland,11.9,6042718.0,MD,Milky Way,41128.0,Reese's Cups,28689.0,Hershey Kisses,11740.0
18,Kansas,11.8,2911505.0,KS,Reese's Cups,245135.0,M&M's,225421.0,Snickers,138422.0
19,Michigan,11.8,9995915.0,MI,Candy Corn,150805.0,Starburst,132594.0,Skittles,78426.0
20,Hawaii,11.5,1420491.0,HI,Skittles,275811.0,Hershey Kisses,266495.0,Butterfinger,125531.0
21,Missouri,11.4,6126452.0,MO,Milky Way,46001.0,Dubble Bubble Gum,32042.0,Almond Joy,24746.0
22,Pennsylvania,11.4,12807060.0,PA,Skittles,302061.0,M&M's,282172.0,Candy Corn,130597.0
23,New York,11.0,19542209.0,NY,Sour Patch Kids,203705.0,Candy Corn,100484.0,Hot Tamales,49326.0
24,Oregon,10.9,4190713.0,OR,Reese's Cups,92495.0,M&M's,60290.0,Candy Corn,40263.0
25,Arizona,10.8,7171646.0,AZ,Snickers,956333.0,Hot Tamales,766617.0,Hershey Kisses,502310.0
26,Nevada,10.7,3034392.0,NV,Candy Corn,339882.0,Hershey Kisses,198868.0,Tootsie Pops,151384.0
27,Rhode Island,10.7,1057315.0,RI,Candy Corn,17704.0,Twix,13039.0,M&M's,8230.0
28,Maine,10.5,1338404.0,ME,Sour Patch Kids,63630.0,Starburst,40409.0,M&M's,15831.0
29,Virginia,10.5,8517685.0,VA,Hot Tamales,160136.0,Snickers,132370.0,Tootsie Pops,64494.0
30,New Jersey,10.4,8908520.0,NJ,Skittles,165484.0,M&M's,160088.0,Tootsie Pops,98613.0
31,California,10.3,39865590.0,CA,Skittles,1620736.0,M&M's,1283715.0,Assorted Salt Water Taffy,891953.0
32,New Hampshire,10.3,1356458.0,NH,Starburst,67939.0,M&M's,61343.0,Snickers,25049.0
33,Illinois,10.1,12741080.0,IL,Kit Kat,169089.0,Sour Patch Kids,137257.0,Snickers,91494.0
34,Iowa,10.1,3156145.0,IA,Candy Corn,61271.0,M&M's,52499.0,Reese's Cups,51737.0
