State,Top Candy,2nd place,3rd Place
AK,Twix,Blow Pops,Milky Way
AL,Candy Corn,Tootsie Pops,Hershey's Mini Bars
AR,Jolly Ranchers,Hot Tamales,Butterfinger
AZ,Snickers,Hot Tamales,Hershey Kisses
CA,Skittles,M&M's,Assorted Salt Water Taffy
CO,Twix,Milky Way,Hershey Kisses
CT,Almond Joy,Milky Way,M&M's
DC,M&M's,Tootsie Pops,Candy Corn
DE,Life Savers,Candy Corn,Skittles
FL,Snickers,Skittles,Reese's Cups
GA,Jolly Ranchers,Swedish Fish,Hershey Kisses
HI,Skittles,Hershey Kisses,Butterfinger
IA,Candy Corn,M&M's,Reese's Cups
ID,Candy Corn,Starburst,Snickers
IL,Kit Kat,Sour Patch Kids,Snickers
IN,Hot Tamales,Starburst,Jolly Ranchers
KS,Reese's Cups,M&M's,Snickers
KY,Swedish Fish,Tootsie Pops,Reese's Cups
LA,Lemonheads,Reese's Cups,Blow Pops
MA,Sour Patch Kids,Butterfinger,Dubble Bubble Gum
MD,Milky Way,Reese's Cups,Hershey Kisses
ME,Sour Patch Kids,Starburst,M&M's
MI,Candy Corn,Starburst,Skittles
MN,Tootsie Pops,Skittles,Candy Corn
MO,Milky Way,Dubble Bubble Gum,Almond Joy
MS,3 Musketeers,Snickers,Butterfinger
MT,Dubble Bubble Gum,Twix,M&M's
NC,M&M's,Reese's Cups,Snickers
ND,Hot Tamales,Jolly Ranchers,Candy Corn
NE,Salt Water Taffy,Sour Patch Kids,Twix
NH,Starburst,M&M's,Snickers
NJ,Skittles,M&M's,Tootsie Pops
NM,Candy Corn,Jolly Ranchers,Milky Way
NV,Candy Corn,Hershey Kisses,Tootsie Pops
NY,Sour Patch Kids,Candy Corn,Hot Tamales
OH,M&M's,Blow Pops,Starburst
OK,Dubble Bubble Gum,Snickers,Skittles
OR,Reese's Cups,M&M's,Candy Corn
PA,Skittles,M&M's,Candy Corn
RI,Candy Corn,Twix,M&M's
SC,Skittles,Candy Corn,Hot Tamales
SD,Starburst,Candy Corn,Jolly Ranchers
TN,Tootsie Pops,Skittles,Salt Water Taffy
TX,Reese's Cups,Starburst,Almond Joy
UT,Jolly Ranchers,Candy Corn,Tootsie Pops
VA,Hot Tamales,Snickers,Tootsie Pops
VT,Milky Way,Skittles,M&M's
WA,Salt Water Taffy,Tootsie Pops,Skittles
WI,Butterfinger,Starburst,Hot Tamales
WV,Blow Pops,Milky Way,Hershey's Mini Bars
WY,Reese's Cups,Salt Water Taffy,Dubble Bubble Gum
